Minute,religion,pro_services,care_household_members,social_relax_leisure,travel,household_services,gov_services,eat_drink,volunteering,household_activities,care_non_household_members,sports_exercise,calls,personal_care,consumer_purchases,work,education
38,0.00062,0.00011,0.00171,0.01225,0.00545,0,0,0.00327,0.00016,0.00482,0.00026,0.00103,0.00017,0.95254,0.00015,0.01717,0.0003
39,0.00062,0.00011,0.00171,0.01225,0.00545,0,0,0.00327,0.00016,0.0048,0.00025,0.00103,0.00017,0.95255,0.00014,0.01718,0.0003
40,0.00063,0.00011,0.00167,0.01231,0.00581,0,0,0.00324,0.00016,0.00471,0.00023,0.00107,0.00017,0.952,0.00017,0.0174,0.0003
41,0.00062,0.00011,0.00167,0.01232,0.00583,0,0,0.00323,0.00016,0.00471,0.00023,0.00108,0.00017,0.95199,0.00017,0.0174,0.0003
42,0.00063,0.00011,0.00166,0.01233,0.00582,0,0,0.00323,0.00016,0.00468,0.00022,0.00107,0.00017,0.952,0.00018,0.01743,0.0003
43,0.00063,0.00011,0.00166,0.01235,0.00582,0,0,0.00322,0.00016,0.00464,0.00022,0.00108,0.00017,0.95202,0.00017,0.01744,0.0003
44,0.00063,0.00011,0.00165,0.01236,0.00581,0,0,0.00321,0.00016,0.00463,0.00022,0.00108,0.00017,0.95203,0.00017,0.01746,0.0003
45,0.00064,0.00011,0.00157,0.01253,0.00662,0,0,0.00331,0.00016,0.00488,0.00025,0.00116,0.00018,0.95024,0.00016,0.01789,0.00031
46,0.00064,0.00011,0.00156,0.01254,0.00665,0,0,0.00331,0.00016,0.00485,0.00024,0.00116,0.00018,0.95023,0.00016,0.0179,0.00031
47,0.00066,0.00011,0.00158,0.01256,0.00666,0,0,0.0033,0.00016,0.00478,0.00023,0.00116,0.00017,0.95021,0.00016,0.01795,0.00031
48,0.00066,0.00011,0.00157,0.01259,0.00663,0,0,0.00331,0.00016,0.00477,0.00023,0.00117,0.00017,0.9502,0.00016,0.01796,0.00031
49,0.00066,0.00011,0.00156,0.01258,0.0066,0,0,0.00331,0.00016,0.00478,0.00023,0.00117,0.00017,0.95019,0.00017,0.01799,0.00031
50,0.00066,0.00012,0.00158,0.01273,0.00655,0,0,0.00333,0.00017,0.00457,0.00027,0.00122,0.00017,0.94972,0.00016,0.01843,0.00031
51,0.00066,0.00012,0.00158,0.01272,0.00654,0,0,0.00333,0.00017,0.00457,0.00027,0.00123,0.00016,0.94971,0.00016,0.01845,0.00031
52,0.00066,0.00012,0.00157,0.01273,0.00651,0,0,0.00333,0.00017,0.00458,0.00027,0.00124,0.00016,0.94969,0.00015,0.0185,0.00031
53,0.00066,0.00012,0.00157,0.01273,0.00648,0,0,0.00331,0.00017,0.00458,0.00027,0.00124,0.00016,0.9497,0.00015,0.01855,0.00031
54,0.00065,0.00012,0.00157,0.01272,0.00648,0,0,0.00333,0.00017,0.00457,0.00027,0.00124,0.00016,0.9497,0.00015,0.01856,0.00031
55,0.00068,0.00012,0.00159,0.01277,0.00627,0,0,0.00327,0.00018,0.00442,0.00025,0.00129,0.00016,0.94955,0.00015,0.01895,0.00034
56,0.00068,0.00012,0.0016,0.01276,0.00623,0,0,0.00327,0.00018,0.00443,0.00026,0.00128,0.00016,0.94954,0.00015,0.01901,0.00034
57,0.00068,0.00012,0.00159,0.01278,0.00622,0,0,0.00326,0.00018,0.00441,0.00025,0.00129,0.00016,0.94953,0.00015,0.01905,0.00034
58,0.00068,0.00012,0.00159,0.01277,0.0062,0,0,0.00327,0.00018,0.00442,0.00025,0.00129,0.00016,0.94953,0.00015,0.01906,0.00034
59,0.00068,0.00012,0.00159,0.01277,0.00619,0,0,0.00326,0.00018,0.00443,0.00025,0.00129,0.00016,0.94952,0.00015,0.01907,0.00034
60,0.00102,0.00014,0.00224,0.01343,0.00939,0.00001,0,0.00629,0.00023,0.00968,0.00029,0.00198,0.00016,0.93432,0.00019,0.02021,0.00042
61,0.00101,0.00014,0.00219,0.01352,0.00943,0.00001,0,0.0063,0.00023,0.00954,0.00028,0.002,0.00015,0.93434,0.00018,0.02026,0.00042
62,0.001,0.00014,0.00218,0.01361,0.00934,0,0,0.00637,0.00023,0.00935,0.00029,0.00202,0.00013,0.93438,0.00021,0.02033,0.00042
63,0.00101,0.00014,0.00216,0.01368,0.0093,0,0,0.00642,0.00023,0.00926,0.00028,0.00204,0.00012,0.93436,0.0002,0.02038,0.00042
64,0.00101,0.00014,0.00216,0.01372,0.00927,0,0,0.00643,0.00023,0.00922,0.00029,0.00204,0.00012,0.93435,0.0002,0.02039,0.00042
65,0.00099,0.00013,0.00217,0.01404,0.00897,0,0,0.00643,0.00024,0.00875,0.00033,0.00211,0.00011,0.93426,0.00023,0.02081,0.00042
66,0.00098,0.00013,0.00216,0.01406,0.009,0,0,0.00642,0.00024,0.00872,0.00032,0.00212,0.00011,0.93426,0.00023,0.02081,0.00042
67,0.00098,0.00013,0.00216,0.01409,0.00898,0,0,0.0064,0.00023,0.00866,0.00031,0.00214,0.00011,0.9343,0.00023,0.02085,0.00042
68,0.00098,0.00013,0.00215,0.01413,0.00893,0,0,0.00639,0.00023,0.00864,0.00031,0.00216,0.00011,0.93431,0.00023,0.02087,0.00042
69,0.00098,0.00013,0.00215,0.01411,0.00895,0,0,0.00639,0.00023,0.00864,0.00031,0.00216,0.00011,0.93432,0.00021,0.02088,0.00042
70,0.00094,0.00013,0.00207,0.01449,0.00898,0,0,0.00611,0.00023,0.00835,0.00032,0.00228,0.00011,0.93383,0.00029,0.02144,0.00044
71,0.00094,0.00013,0.00205,0.01451,0.00899,0,0,0.00611,0.00024,0.00832,0.00032,0.00227,0.00011,0.93383,0.00029,0.02145,0.00044
72,0.00094,0.00013,0.00205,0.01455,0.00893,0,0,0.00612,0.00024,0.0083,0.00033,0.00227,0.00011,0.93382,0.0003,0.02147,0.00044
73,0.00094,0.00013,0.00205,0.01454,0.00891,0,0,0.00612,0.00024,0.00827,0.00033,0.00229,0.00011,0.93383,0.00031,0.02148,0.00044
74,0.00094,0.00013,0.00205,0.01454,0.00893,0,0,0.00612,0.00024,0.00826,0.00032,0.0023,0.00011,0.93383,0.0003,0.0215,0.00044
75,0.00097,0.00016,0.00211,0.01501,0.00979,0,0,0.00621,0.00024,0.00864,0.00037,0.00256,0.00012,0.93065,0.00025,0.02247,0.00045
76,0.00097,0.00016,0.0021,0.01504,0.00971,0,0,0.00621,0.00024,0.00864,0.00037,0.00257,0.00012,0.93063,0.00026,0.02253,0.00045
77,0.00097,0.00016,0.0021,0.01504,0.00969,0,0,0.00618,0.00024,0.00859,0.00038,0.00257,0.00012,0.93064,0.00025,0.02263,0.00045
78,0.00097,0.00016,0.00208,0.01507,0.00966,0,0,0.00617,0.00024,0.00855,0.0004,0.00258,0.00013,0.93065,0.00024,0.02265,0.00045
79,0.00097,0.00016,0.00208,0.01508,0.00966,0,0,0.00617,0.00024,0.00854,0.00038,0.00259,0.00013,0.93065,0.00024,0.02266,0.00045
80,0.00094,0.00017,0.00218,0.01535,0.01006,0,0,0.00614,0.00026,0.00856,0.0004,0.00271,0.00014,0.92908,0.00025,0.02329,0.00048
81,0.00094,0.00017,0.00218,0.01537,0.01006,0,0,0.00614,0.00025,0.00856,0.00038,0.00271,0.00014,0.92904,0.00025,0.02333,0.00048
82,0.00094,0.00017,0.00216,0.01539,0.01003,0,0,0.00614,0.00025,0.00852,0.00037,0.00272,0.00013,0.92906,0.00025,0.02339,0.00048
83,0.00094,0.00017,0.00218,0.01538,0.01001,0,0,0.00614,0.00026,0.00851,0.00038,0.00272,0.00013,0.92905,0.00026,0.02341,0.00048
84,0.00094,0.00017,0.00218,0.01539,0.00998,0,0,0.00616,0.00026,0.0085,0.00039,0.00272,0.00013,0.92902,0.00027,0.02341,0.00048
85,0.00096,0.00017,0.0022,0.01555,0.01,0,0,0.00607,0.00027,0.00816,0.00038,0.00275,0.00014,0.92863,0.00028,0.02395,0.00048
86,0.00096,0.00017,0.00219,0.01559,0.00999,0,0,0.00609,0.00027,0.00814,0.00037,0.00275,0.00014,0.9286,0.00028,0.02397,0.00048
87,0.00096,0.00017,0.00219,0.01562,0.00996,0,0,0.0061,0.00027,0.00808,0.00037,0.00275,0.00014,0.92861,0.00026,0.02405,0.00048
88,0.00096,0.00017,0.00217,0.01564,0.00991,0,0,0.00612,0.00027,0.00804,0.00037,0.00275,0.00014,0.92862,0.00026,0.0241,0.00048
89,0.00097,0.00017,0.00217,0.01563,0.0099,0,0,0.0061,0.00027,0.00803,0.00038,0.00275,0.00014,0.92863,0.00026,0.02411,0.00048
90,0.00131,0.00018,0.00331,0.01751,0.01498,0.00001,0,0.00945,0.00029,0.01408,0.00043,0.00359,0.0002,0.90782,0.00029,0.02603,0.00054
91,0.0013,0.00019,0.00325,0.01762,0.01489,0.00001,0,0.00947,0.00029,0.01396,0.00042,0.00359,0.0002,0.90786,0.00034,0.02608,0.00054
92,0.0013,0.00019,0.00325,0.01774,0.01487,0.00001,0,0.00955,0.00029,0.01378,0.00039,0.0036,0.00019,0.90781,0.00031,0.02617,0.00054
93,0.0013,0.00019,0.00324,0.01784,0.01479,0.00001,0,0.00959,0.00029,0.01357,0.0004,0.00364,0.00019,0.90787,0.0003,0.02623,0.00054
94,0.0013,0.00019,0.00322,0.01785,0.01474,0.00001,0,0.00962,0.00029,0.01352,0.0004,0.00365,0.00019,0.9079,0.00031,0.02627,0.00054
95,0.00127,0.00019,0.00315,0.01838,0.01439,0.00001,0,0.00937,0.00031,0.01308,0.00042,0.00372,0.00017,0.9076,0.0004,0.02698,0.00057
96,0.00127,0.00019,0.00315,0.01845,0.01441,0.00001,0,0.00935,0.00031,0.01305,0.00041,0.00372,0.00017,0.90756,0.00038,0.02702,0.00057
97,0.00127,0.00019,0.00314,0.01855,0.01436,0.00001,0,0.00936,0.00031,0.01292,0.00042,0.00373,0.00016,0.90758,0.00036,0.02708,0.00057
98,0.00128,0.00019,0.00314,0.01858,0.01428,0.00001,0,0.00936,0.00032,0.01288,0.00042,0.00373,0.00016,0.90761,0.00035,0.02714,0.00057
99,0.00129,0.00019,0.00314,0.01857,0.01429,0.00001,0,0.00936,0.00032,0.01285,0.00042,0.00372,0.00016,0.9076,0.00032,0.0272,0.00057
100,0.00127,0.0002,0.00323,0.01909,0.01455,0.00001,0,0.00912,0.00033,0.01237,0.00043,0.0038,0.00014,0.90647,0.0003,0.02813,0.00057
101,0.00127,0.0002,0.00321,0.01914,0.01449,0.00001,0,0.00911,0.00033,0.01231,0.00043,0.0038,0.00014,0.90651,0.0003,0.02819,0.00057
102,0.00127,0.00019,0.00317,0.01918,0.01443,0.00001,0,0.00906,0.00033,0.01228,0.00042,0.0038,0.00015,0.90652,0.0003,0.02832,0.00057
103,0.00127,0.00019,0.00315,0.0192,0.01441,0.00001,0,0.00905,0.00033,0.01228,0.00043,0.0038,0.00014,0.90649,0.0003,0.02838,0.00057
104,0.00127,0.00019,0.00318,0.01923,0.01438,0.00001,0,0.00905,0.00033,0.01221,0.00042,0.00382,0.00016,0.90645,0.0003,0.02843,0.00057
105,0.00132,0.00019,0.00359,0.02004,0.0153,0.00001,0,0.00954,0.00034,0.01292,0.0005,0.00411,0.00017,0.90109,0.00038,0.02993,0.00058
106,0.00133,0.00019,0.00352,0.02005,0.01522,0.00001,0,0.00961,0.00035,0.01285,0.00052,0.00413,0.00017,0.9011,0.00038,0.03,0.00058
107,0.00132,0.00019,0.00348,0.02012,0.01513,0.00001,0,0.00961,0.00036,0.01277,0.0005,0.00411,0.00018,0.90113,0.00039,0.03012,0.00058
108,0.00132,0.00019,0.00348,0.02016,0.01514,0.00001,0,0.00962,0.00035,0.01275,0.00048,0.00411,0.00018,0.90108,0.00038,0.03017,0.00058
109,0.00132,0.00019,0.00346,0.02018,0.01509,0.00001,0,0.00961,0.00035,0.01273,0.00048,0.00411,0.00018,0.90106,0.00039,0.03025,0.00058
110,0.00135,0.00019,0.00357,0.02058,0.01479,0.00001,0,0.00956,0.00035,0.01294,0.00052,0.0042,0.00016,0.89896,0.00043,0.03175,0.00065
111,0.00135,0.00019,0.00354,0.02062,0.0148,0.00001,0,0.00955,0.00035,0.01289,0.00051,0.0042,0.00016,0.89898,0.0004,0.03179,0.00065
112,0.00136,0.00019,0.00354,0.02074,0.01475,0.00001,0,0.00956,0.00036,0.0128,0.00051,0.00421,0.00015,0.8989,0.0004,0.03188,0.00066
113,0.00136,0.00019,0.00354,0.02077,0.01466,0.00001,0,0.00955,0.00036,0.01274,0.00049,0.00422,0.00015,0.8989,0.00041,0.03199,0.00067
114,0.00136,0.00019,0.00355,0.02078,0.01461,0.00001,0,0.00955,0.00036,0.01274,0.0005,0.00423,0.00014,0.89887,0.00042,0.03204,0.00067
115,0.00134,0.00018,0.0036,0.02089,0.01391,0.00001,0,0.00939,0.00037,0.01237,0.0005,0.00425,0.00016,0.89843,0.00047,0.0335,0.00064
116,0.00134,0.00018,0.00358,0.0209,0.01386,0.00001,0,0.00937,0.00037,0.01239,0.00049,0.00425,0.00016,0.89842,0.00047,0.03359,0.00064
117,0.00133,0.00018,0.00355,0.02087,0.0137,0.00001,0,0.00938,0.00037,0.01241,0.0005,0.00425,0.00016,0.89838,0.0005,0.03377,0.00064
118,0.00133,0.00018,0.00354,0.02089,0.01365,0.00001,0,0.00936,0.00037,0.01241,0.00052,0.00426,0.00016,0.89835,0.00051,0.03383,0.00064
119,0.00133,0.00018,0.00352,0.0209,0.01365,0.00001,0,0.00937,0.00037,0.01239,0.00051,0.00425,0.00015,0.89837,0.0005,0.03386,0.00064
120,0.00205,0.00022,0.00889,0.02349,0.02393,0.00002,0,0.01971,0.00052,0.02774,0.00071,0.00597,0.00034,0.84554,0.00056,0.03946,0.00085
121,0.00205,0.00022,0.00873,0.02363,0.02379,0.00002,0,0.01983,0.00053,0.02765,0.00073,0.00597,0.00034,0.84548,0.00062,0.03955,0.00086
122,0.00208,0.00022,0.00855,0.02388,0.0236,0.00002,0,0.01998,0.00053,0.02724,0.0007,0.00604,0.00032,0.84563,0.00061,0.03973,0.00088
123,0.00209,0.00022,0.00851,0.02403,0.02338,0.00002,0,0.0201,0.00053,0.02709,0.0007,0.00604,0.0003,0.84561,0.00062,0.03987,0.00088
124,0.00209,0.00022,0.00851,0.02411,0.02333,0.00002,0,0.02014,0.00053,0.02699,0.00069,0.00604,0.00031,0.8456,0.00059,0.03995,0.00089
125,0.00211,0.00024,0.00845,0.025,0.02265,0.00002,0,0.02032,0.00052,0.02609,0.00074,0.00617,0.00027,0.84464,0.00072,0.04109,0.00097
126,0.0021,0.00024,0.00841,0.02504,0.0227,0.00002,0,0.02032,0.00052,0.02595,0.00071,0.00617,0.00027,0.84467,0.00069,0.04122,0.00097
127,0.00209,0.00024,0.00838,0.0251,0.0227,0.00002,0,0.02033,0.00052,0.02581,0.00067,0.00618,0.00028,0.84472,0.00065,0.04132,0.00097
128,0.00209,0.00024,0.00835,0.02515,0.02271,0.00002,0,0.02035,0.00052,0.02578,0.00068,0.00618,0.00028,0.8447,0.00061,0.04138,0.00097
129,0.00209,0.00024,0.00833,0.02515,0.02267,0.00002,0,0.02039,0.00052,0.02576,0.00067,0.00618,0.00028,0.84472,0.0006,0.04142,0.00097
130,0.00202,0.00027,0.00837,0.02632,0.02261,0.00002,0.00001,0.01973,0.00053,0.02472,0.00072,0.00634,0.00029,0.84344,0.00066,0.04289,0.00108
131,0.00203,0.00027,0.00831,0.02637,0.02261,0.00002,0.00001,0.01973,0.00053,0.02467,0.00072,0.00634,0.0003,0.84342,0.00065,0.04297,0.00108
132,0.00203,0.00027,0.00826,0.02646,0.02246,0.00002,0.00001,0.01972,0.00053,0.02461,0.00071,0.00636,0.00028,0.84344,0.00066,0.0431,0.00109
133,0.00203,0.00027,0.00822,0.02652,0.02248,0.00002,0.00001,0.01969,0.00053,0.02457,0.00071,0.00636,0.00028,0.84342,0.00064,0.04316,0.00109
134,0.00204,0.00027,0.0082,0.02652,0.02247,0.00002,0.00001,0.0197,0.00053,0.02457,0.00071,0.00636,0.00028,0.84343,0.00062,0.04318,0.00109
135,0.00201,0.00029,0.00896,0.02793,0.02486,0.00002,0.00001,0.02003,0.00057,0.02574,0.00081,0.00648,0.00031,0.83466,0.00064,0.04554,0.00114
136,0.00202,0.00029,0.00895,0.028,0.02482,0.00002,0.00001,0.02002,0.00058,0.02568,0.00076,0.00649,0.00031,0.83466,0.00067,0.0456,0.00114
137,0.00201,0.00029,0.00891,0.02806,0.02478,0.00002,0.00001,0.01995,0.00058,0.02556,0.00074,0.0065,0.0003,0.83465,0.00067,0.04579,0.00116
138,0.00201,0.0003,0.00898,0.02817,0.02476,0.00002,0.00001,0.01996,0.00058,0.02539,0.00073,0.00649,0.0003,0.8346,0.00067,0.04588,0.00116
139,0.00202,0.00031,0.00895,0.02818,0.02475,0.00002,0.00001,0.0199,0.00058,0.02538,0.00072,0.00647,0.00031,0.83461,0.00065,0.04594,0.00118
140,0.00201,0.00034,0.00913,0.0294,0.02611,0.00003,0,0.01962,0.0006,0.02536,0.0008,0.0065,0.00035,0.83001,0.00076,0.04776,0.00123
141,0.002,0.00034,0.00909,0.02946,0.02616,0.00003,0,0.01957,0.0006,0.02534,0.00075,0.00649,0.00035,0.82999,0.00074,0.04784,0.00124
142,0.002,0.00034,0.00902,0.02954,0.02599,0.00003,0,0.01955,0.00061,0.02534,0.00076,0.0065,0.00034,0.82993,0.00077,0.04803,0.00124
143,0.002,0.00034,0.009,0.02961,0.02586,0.00003,0,0.01955,0.00061,0.02529,0.00077,0.0065,0.00034,0.82999,0.00076,0.04811,0.00125
144,0.002,0.00034,0.009,0.02963,0.02585,0.00003,0,0.01956,0.00061,0.02525,0.00078,0.0065,0.00034,0.82997,0.00075,0.04814,0.00125
145,0.00199,0.00037,0.00906,0.03017,0.02558,0.00002,0,0.01879,0.00062,0.02509,0.00083,0.00648,0.00032,0.82876,0.00078,0.04976,0.00137
146,0.00198,0.00037,0.00903,0.03014,0.02567,0.00002,0,0.01883,0.00061,0.02503,0.0008,0.00648,0.00033,0.82878,0.00075,0.0498,0.00137
147,0.00199,0.00037,0.00898,0.03021,0.02558,0.00002,0,0.01887,0.00061,0.02494,0.0008,0.00649,0.00033,0.82874,0.00075,0.04994,0.00138
148,0.00198,0.00037,0.009,0.03022,0.02561,0.00002,0,0.01885,0.00061,0.02487,0.00078,0.0065,0.00033,0.82867,0.00075,0.05004,0.00139
149,0.00198,0.00035,0.00898,0.03026,0.02557,0.00002,0,0.01888,0.00062,0.02486,0.00077,0.00651,0.00033,0.82865,0.00075,0.05009,0.00138
150,0.00237,0.00041,0.01477,0.03374,0.03881,0.00004,0,0.02718,0.00079,0.0372,0.00108,0.00711,0.0005,0.77659,0.00089,0.05696,0.00156
151,0.00238,0.00042,0.01465,0.03394,0.03863,0.00004,0,0.02727,0.00079,0.03717,0.00106,0.00711,0.0005,0.77644,0.00091,0.05711,0.00157
152,0.00235,0.00043,0.01452,0.03427,0.03857,0.00004,0,0.02733,0.0008,0.03683,0.00107,0.00714,0.00051,0.7764,0.00086,0.05731,0.00157
153,0.00235,0.00043,0.01452,0.03445,0.0383,0.00004,0,0.02739,0.00081,0.03669,0.00105,0.00713,0.0005,0.77635,0.00089,0.05749,0.0016
154,0.00234,0.00043,0.01454,0.03451,0.0382,0.00004,0,0.02742,0.00082,0.03657,0.00107,0.00714,0.0005,0.77629,0.0009,0.05761,0.00162
155,0.00237,0.00045,0.01441,0.03557,0.03753,0.00004,0.00001,0.02725,0.00088,0.03525,0.00113,0.0071,0.00047,0.77522,0.00105,0.0595,0.00179
156,0.00237,0.00045,0.01433,0.03564,0.03754,0.00004,0.00001,0.02722,0.00088,0.03513,0.00112,0.00712,0.00047,0.77526,0.00103,0.05959,0.0018
157,0.0024,0.00045,0.01421,0.03571,0.03749,0.00004,0.00001,0.0273,0.00088,0.03505,0.0011,0.00713,0.00046,0.77518,0.00104,0.05975,0.00181
158,0.0024,0.00045,0.01414,0.03577,0.03733,0.00004,0.00002,0.02737,0.00089,0.03497,0.00111,0.00713,0.00046,0.77515,0.00104,0.05992,0.00181
